ID;Bezeichner;Gehäuse;Stückzahl;Bezeichnung;Anbieter und Referenz;;Stückpreis;Gesamtpreis;Optional;Erklärung;;;
26;A1;Arduino_Nano;1;Arduino_Nano_v3.x;;https://www.reichelt.de/arduino-nano-v3-3-atmega-328-mini-usb-arduino-nano-p142943.html?&trstct=pol_8; 1,65 € ; 1,65 € ;x;;;;
6;C7;C_Disc_D3.0mm_W1.6mm_P2.50mm;1;100n;;https://www.reichelt.de/vielschicht-keramikkondensator-100n-10-x7r-5-100n-p22865.html?&trstct=pol_5; 0,05 € ; 0,05 € ;;;;;
23;C3,C2,C1,C4;CP_Radial_D8.0mm_P3.50mm;4;100µF;;https://www.reichelt.de/elko-radial-100-uf-50-v-105-c-low-esr-rad-fr-100-50-p121283.html?&trstct=pol_2; 0,21 € ; 0,84 € ;;;;;
25;C5, C6;CP_Radial_D8.0mm_P3.50mm;2;1µF;;"https://www.reichelt.de/Elkos-radial-85-C/2/index.html?ACTION=2&LA=2&GROUP=B312&GROUPID=3143&START=0&OFFSET=16&SHOW=1;SID=95XH8Os6wQAT4AAAsVaKsfa9052d4429531c64a0053c122c792f8"; 0,04 € ; 0,08 € ;;;;;
1;D3,D2;D_DO-201AD_P15.24mm_Horizontal;2;1N5822;;https://www.reichelt.de/schottkydiode-40-v-3-a-do-201ad-rnd-1n5822-p223387.html?&trstct=pos_0; 0,12 € ; 0,24 € ;;;;;
16;U5;DIP-16_W7.62mm;1;ULN2003AN;;https://www.reichelt.de/darlington-arrays-konstantstromregler-dip-16-uln-2003-an-p189138.html?r=1; 0,55 € ; 0,55 € ;;;;;
28;U3,U4,U2;DIP-16_W7.62mm;3;LTV-847;;https://www.reichelt.de/optokoppler-ltv-847-p76176.html?&trstct=pos_5; 0,52 € ; 1,56 € ;;;;;
11;U1;DIP-8_W7.62mm;1;LM358;;https://www.reichelt.de/operationsverstaerker-2-fach-dip-8-lm-358-dip-p10483.html?&trstct=pos_0; 0,24 € ; 0,24 € ;;;;;
12;U7;DIP-8_W7.62mm_LongPads;1;ATtiny45-20PU;;https://www.reichelt.de/mcu-attiny-avr-risc-4-kb-20-mhz-pdip-8-attiny-45-20pu-p68160.html?&trstct=pos_0; 0,90 € ; 0,90 € ;x;Nur wenn Servoausgang benötigt;;;
15;HS1;Heatsink_China_TO220_(22x)15x10mm_1xDrill1.5mm;1;Heatsink 7805;;https://www.aliexpress.com/item/10pcs-Aluminium-TO-220-Heatsink-TO-220-Heat-Sink-Transistor-Radiator-TO220-Cooler-Cooling-7805-21/32454598520.html; 0,54 € ; 0,54 € ;;;;;
2;D1;LED_D5.0mm;1;LED;;https://www.reichelt.de/led-5-mm-bedrahtet-rot-800-mcd-15-rnd-135-00029-p224134.html?&trstct=pol_0; 0,04 € ; 0,04 € ;;;;;
5;A5;LM2596_Step_Down_Module-4_21.2x40.3mm;1;LM2596_Step_Down_Module;;https://www.aliexpress.com/item/3A-Voltage-regulator-lm2596-LM2596S-DC-DC-3-40V-adjustable-step-down-power-Supply-module/32918649570.html; 0,67 € ; 0,67 € ;x;Nur bei Versorgung >12V;;;
19;J2;Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical;1;Conn_01x03_Male;;https://www.reichelt.de/molex-stiftleiste-kk-1x3-polig-stecker-molex-22292031-p190285.html?&trstct=pos_8; 0,26 € ; 0,26 € ;x;Nur bei Anschluss von PC Lüfter, Stiftleiste geht auch;;;
